doi,rank,raw_name,raw_affiliation,matched_faculty_id,confidence_score,match_signals
10.1038/s41467-023-40854-1,3,Zhenpeng Xu,"Department of Material Science and Engineering, University of California, Berkeley, CA, USA; Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, USA",,0,"{""relevance"": ""name_only_candidate"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 22, ""employee_id"": ""gen_1d3f1947"", ""name_zh"": ""Heng Xu"", ""department"": ""Department of Laboratory Medicine, Precision Medicine Center, State Key Laboratory of Biotherapy, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7777777777777778, ""aff_score"": 0.30237154150197626, ""aff_used"": ""Department of Material Science and Engi"
10.1038/s41467-023-40854-1,4,Chenang Liu,"Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, USA",,0,"{""relevance"": ""name_only_candidate"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 19, ""employee_id"": ""gen_81794865"", ""name_zh"": ""Han Liu"", ""department"": ""Department of Computer Science and Technology, Sichuan University, Chengdu, China"", ""name_score"": 0.7777777777777778, ""aff_score"": 0.327710843373494, ""aff_used"": ""Industrial Engineering and Management, Oklahoma State University, Stillwater, OK, USA"", ""reason"": ""affiliation_mismatch""}}"
10.1038/s41467-023-40854-1,5,Han Liu,"Department of Computer Science and Technology, Sichuan University, Chengdu, China",19.0,97,"{""relevance"": ""matched_faculty"", ""source"": ""meta-guided"", ""evidence_score"": 0.5, ""evidence_sources"": [""crossref"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 1.0, ""aff_used"": ""Department of Computer Science and Technology, Sichuan University, Chengdu, China"", ""posterior"": 0.9781187290638694, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.8}, ""name_only_candidate"": null}"
10.1038/s41467-023-40854-1,11,Xiaoyu Zheng,"Department of Mechanical Engineering, Virginia Tech, Blacksburg, VA, USA; Department of Material Science and Engineering, University of California, Berkeley, CA, USA; Department of Civil and Environmental Engineering, University of California, Los Angeles, CA, USA",,0,"{""relevance"": ""name_only_candidate"", ""source"": ""meta-guided"", ""evidence_score"": 0.6, ""evidence_sources"": [""crossref"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 144, ""employee_id"": ""gen_718441cf"", ""name_zh"": ""Zhaoyue Zheng"", ""department"": ""Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.8, ""aff_score"": 0.3264492753623188, ""aff_used"": ""Depart"
10.2196/48568,1,Jialin Liu,Sichuan University; West China Medical Center of Sichuan University; West China Hospital of Sichuan University,25.0,96,"{""relevance"": ""matched_faculty"", ""source"": ""ocr-rule"", ""evidence_score"": 0.9, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 0.9, ""aff_used"": ""Sichuan University"", ""posterior"": 0.9623121094913941, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.24}, ""name_only_candidate"": null}"
10.2196/48568,2,Changyu Wang,Sichuan University; West China Hospital of Sichuan University,6.0,96,"{""relevance"": ""matched_faculty"", ""source"": ""ocr-rule"", ""evidence_score"": 0.9, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 0.9, ""aff_used"": ""Sichuan University"", ""posterior"": 0.9623121094913941, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.24}, ""name_only_candidate"": null}"
10.2196/48568,3,Siru Liu,Vanderbilt University Medical Center,,0,"{""relevance"": ""name_only_candidate"", ""source"": ""ocr-rule"", ""evidence_score"": 0.9, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 128, ""employee_id"": ""gen_90afcb50"", ""name_zh"": ""Yu Liu"", ""department"": ""Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7142857142857143, ""aff_score"": 0.2213953488372093, ""aff_used"": ""Vanderbilt Unive"
10.2196/48009,1,Changyu Wang,Sichuan University; West China Medical Center of Sichuan University,6.0,96,"{""relevance"": ""matched_faculty"", ""source"": ""ocr-rule"", ""evidence_score"": 1.0, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff"", ""correspondence_marker""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 0.9, ""aff_used"": ""Sichuan University"", ""posterior"": 0.9623121094913941, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.24}, ""name_only_candidate"": null}"
10.2196/48009,2,Siru Liu,Vanderbilt University Medical Center,,0,"{""relevance"": ""name_only_candidate"", ""source"": ""ocr-rule"", ""evidence_score"": 0.9, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {}, ""name_only_candidate"": {""faculty_id"": 128, ""employee_id"": ""gen_90afcb50"", ""name_zh"": ""Yu Liu"", ""department"": ""Department of Geriatrics and State Key Laboratory of Biotherapy, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, Sichuan, China"", ""name_score"": 0.7142857142857143, ""aff_score"": 0.2213953488372093, ""aff_used"": ""Vanderbilt Unive"
10.2196/48009,3,Hao Yang,Sichuan University; West China Hospital of Sichuan University,21.0,96,"{""relevance"": ""matched_faculty"", ""source"": ""ocr-rule"", ""evidence_score"": 0.9, ""evidence_sources"": [""crossref"", ""vision"", ""structured_aff""], ""memory_hint_count"": 0, ""memory_top_score"": 0.0, ""match_trace"": {""name_score"": 1.0, ""aff_score"": 0.9, ""aff_used"": ""Sichuan University"", ""posterior"": 0.9623121094913941, ""fusion"": ""sigmoid_logit"", ""fusion_logit"": 3.24}, ""name_only_candidate"": null}"
